		[PMC2447753]
iQTM5	iQTM5	[PMC3691566]
iRefR	iRefR	[PMC3939454]
iTEM	iTEM	[PMC4634381,PMC3730412,PMC4551318]
igraph	igraph	[PMC3939454]
image Master 2D Platinum 7	image Master 2D Platinum 7	[PMC4475901]
image Pro Plus	image Pro Plus	[PMC4327276]
ineq	ineq	[10.1108%2Fjes-04-2014-0055]
ingenuity pathways analysis	ingenuity pathways analysis	[PMC3734831]
inteRNA	inteRNA	[PMC1933159]
jQTouch	jQTouch	[PMC3589687]
jQuery mobile	jQuery mobile	[PMC3589687]
jaMCp3	jaMCp3	[PMC5066091]
javaNNS	javaNNS	[PMC5054108]
justpark	justpark	[10.1007%2Fs00191-017-0548-y]
limma	limma	[PMC4271550,PMC1635254,PMC3734831,PMC4816756]
linkcomm	linkcomm	[PMC3939454]
linux operation System	linux operation System	[PMC3567485]
lmPerm	lmPerm	[PMC3913674]
lmPerm package	lmPerm package	[PMC3913674]
lncRNAdb	lncRNAdb	[PMC5210605]
lp_solve	lp_solve	[PMC3035800]
lumi package	lumi package	[PMC4816756]
mTurk	mTurk	[10.1002%2Fsoej.12244]
mVISTA	mVISTA	[PMC4540966]
mada	mada	[PMC3960616]
maq simulation	maq simulation	[PMC3627563]
matlab	matlab	[10.1007%2Fs00191-011-0230-8,PMC5458338]
metafor	metafor	[PMC4809623]
miRNAFold	miRNAFold	[PMC5424272]
miRanda	miRanda	[PMC4789845]
mic- Econ	mic- Econ	[10.1007%2Fs11123-009-0142-x]
minfi	minfi	[PMC4583706]
minim	minim	[PMC4470347]
missMethyl	missMethyl	[PMC4583706]
modeltest	modeltest	[a2001-40-MOL_ECOL]
molecule annotation system	molecule annotation system	[PMC3691566]
monmlp	monmlp	[PMC5238813]
moodle	moodle	[PMC3140372]
moorVMS	moorVMS	[PMC4947724]
mouselab	mouselab	[10.1111%2Fecin.12386]
msInspect/AMT	msInspect/AMT	[PMC2649809]
mtex	mtex	[PMC3936211]
mySQL	mySQL	[PMC2686520]
nQuery Advisor	nQuery Advisor	[PMC4998785]
ncoils	ncoils	[PMC5129524]
neighborgoods	neighborgoods	[10.1007%2Fs00191-017-0548-y]
nnmatch	nnmatch	[10.1111%2Fj.1467-6419.2007.00527.x]
ntsys	ntsys	[a2001-40-MOL_ECOL]
ntsys-pc	ntsys-pc	[a2001-40-MOL_ECOL]
oligo analyzer	oligo analyzer	[PMC4354499]
open Epi	open Epi	[PMC4620299]
org.Sc.sgd.db	org.Sc.sgd.db	[PMC3939454]
pClamp	pClamp	[PMC3105518,PMC4576863,PMC4360221,PMC3859226,PMC3337979]
pDRAW32	pDRAW32	[PMC3384331]
pFlexAna	pFlexAna	[PMC2447781]
pMELTS	pMELTS	[PMC5226643]
pRuNA	pRuNA	[PMC1933159]
paup	paup	[a2001-40-MOL_ECOL]
pheatmap	pheatmap	[PMC5129524]
phenix.refine	phenix.refine	[PMC4790474]
phyloFit	phyloFit	[PMC3138425]
phyloP100way-vertebrate	phyloP100way-vertebrate	[PMC5132076]
phyloP46way-placental	phyloP46way-placental	[PMC5132076]
phyml	phyml	[PMC3384331]
piRNABank	piRNABank	[PMC4066774]
prim	prim	[PMC4797302]
primer	primer	[PMC3778302,PMC2677890]
proCIs	proCIs	[PMC4267110]
products/rave_capture.htm	products/rave_capture.htm	[PMC3246293]
psmatch2	psmatch2	[10.1111%2Fj.1467-6419.2007.00527.x]
pssRNAMiner	pssRNAMiner	[PMC2447807]
python	python	[PMC1849898]
qBase quantification Framework	qBase quantification Framework	[PMC4832390]
qBasePLUS	qBasePLUS	[PMC4800296]
qBasePlus	qBasePlus	[a2010-05-BMC_MOL_BIOL]
qt	qt	[PMC3035800]
quadprog	quadprog	[10.1007%2Fs11123-009-0142-x]
r	r	[PMC5238813]
r-package	r-package	[PMC4579483]
randomForest	randomForest	[PMC5238813]
randomize	randomize	[PMC4589266]
repeatmasker	repeatmasker	[PMC1635254]
rgenoud	rgenoud	[10.1007%2Fs00191-018-0558-4]
rgp	rgp	[PMC5238813]
rms	rms	[PMC4875560]
samtools	samtools	[PMC4069613]
sequencenavigator	sequencenavigator	[a2001-40-MOL_ECOL]
seriation	seriation	[PMC4478705]
sff_extract	sff_extract	[PMC4103605]
shinyMethyl	shinyMethyl	[PMC4583706]
signalP	signalP	[PMC5129524]
simplePCI	simplePCI	[PMC3514035]
splines	splines	[PMC4816756]
spp	spp	[PMC4797302]
spsurv	spsurv	[10.1111%2Fecin.12490]
squizz	squizz	[PMC2773253]
ssearch	ssearch	[PMC2447807]
stata	stata	[PMC5329793,PMC4646224,10.1108%2Fjes-01-2015-0013]
statistica	statistica	[a2001-40-MOL_ECOL]
statistical program for social sciences	statistical program for social sciences	[PMC4567233]
statistical software R	statistical software R	[PMC4183043]
statistical software package	statistical software package	[PMC3749802]
stats	stats	[PMC4797302]
tBLASTn	tBLASTn	[PMC3419515]
taveRNA	taveRNA	[PMC1933159]
the Genome Analysis Toolkit	the Genome Analysis Toolkit	[PMC5478307]
the Protein Data Bank	the Protein Data Bank	[PMC3013677]
tmhmm	tmhmm	[PMC5129524]
topGO	topGO	[PMC5129524]
treedist	treedist	[PMC3627563]
turo	turo	[10.1007%2Fs00191-017-0548-y]
v3d	v3d	[PMC3035800]
wEMBOSS	wEMBOSS	[PMC2773253]
walras.org	walras.org	[10.1257%2Fjep.24.4.187]
wii tennis and boxing	wii tennis and boxing	[PMC4977069]
x12-arima	x12-arima	[10.1590%2Fs0034-71402003000400011]
z-Tree	z-Tree	[10.1007%2Fs10683-017-9548-x,10.1257%2Faer.104.10.3256,10.1111%2Fecin.12482]
z-tree	z-tree	[10.1111%2Fecin.12477]
zTree	zTree	[10.1111%2Fecoj.12284]
‘Maximum Likelihood 2D’ (ML2D	‘Maximum Likelihood 2D’ (ML2D	[PMC4176174]
